# New Mexico 2025 Tax Rate Table (PIT-TRT pages T-1 to T-6): taxable income more than (exclusive), not over (inclusive), tax for Single, Married Filing Jointly (and Surviving Spouse), Married Filing Separately, Head of Household.
# Source: the Taxation and Revenue Department's '2025 PIT Packet_Final.pdf' (tax.newmexico.gov Forms & Publications, Personal Income Tax), extracted with pdftotext.
25400	25500	819	683	891	683
25500	25600	824	688	895	688
25600	25700	828	692	900	692
25700	25800	832	696	905	696
25800	25900	837	701	909	701
25900	26000	841	705	914	705
26000	26100	845	709	919	709
26100	26200	849	713	924	713
26200	26300	854	718	928	718
26300	26400	858	722	933	722
26400	26500	862	726	938	726
26500	26600	867	731	942	731
26600	26700	871	735	947	735
26700	26800	875	739	952	739
26800	26900	880	744	956	744
26900	27000	884	748	961	748
27000	27100	888	752	966	752
27100	27200	892	756	971	756
27200	27300	897	761	975	761
27300	27400	901	765	980	765
27400	27500	905	769	985	769
27500	27600	910	774	989	774
27600	27700	914	778	994	778
27700	27800	918	782	999	782
27800	27900	923	787	1003	787
27900	28000	927	791	1008	791
28000	28100	931	795	1013	795
28100	28200	935	799	1018	799
28200	28300	940	804	1022	804
28300	28400	944	808	1027	808
28400	28500	948	812	1032	812
28500	28600	953	817	1036	817
28600	28700	957	821	1041	821
28700	28800	961	825	1046	825
28800	28900	966	830	1050	830
28900	29000	970	834	1055	834
29000	29100	974	838	1060	838
29100	29200	978	842	1065	842
29200	29300	983	847	1069	847
29300	29400	987	851	1074	851
29400	29500	991	855	1079	855
29500	29600	996	860	1083	860
29600	29700	1000	864	1088	864
29700	29800	1004	868	1093	868
29800	29900	1009	873	1097	873
29900	30000	1013	877	1102	877
30000	30100	1017	881	1107	881
30100	30200	1021	885	1112	885
30200	30300	1026	890	1116	890
30300	30400	1030	894	1121	894
30400	30500	1034	898	1126	898
30500	30600	1039	903	1130	903
30600	30700	1043	907	1135	907
30700	30800	1047	911	1140	911
30800	30900	1052	916	1144	916
30900	31000	1056	920	1149	920
31000	31100	1060	924	1154	924
31100	31200	1064	928	1159	928
31200	31300	1069	933	1163	933
31300	31400	1073	937	1168	937
31400	31500	1077	941	1173	941
31500	31600	1082	946	1177	946
31600	31700	1086	950	1182	950
31700	31800	1090	954	1187	954
31800	31900	1095	959	1191	959
31900	32000	1099	963	1196	963
32000	32100	1103	967	1201	967
32100	32200	1107	971	1206	971
32200	32300	1112	976	1210	976
32300	32400	1116	980	1215	980
32400	32500	1120	984	1220	984
32500	32600	1125	989	1224	989
32600	32700	1129	993	1229	993
32700	32800	1133	997	1234	997
32800	32900	1138	1002	1238	1002
32900	33000	1142	1006	1243	1006
33000	33100	1146	1010	1248	1010
33100	33200	1150	1014	1253	1014
33200	33300	1155	1019	1257	1019
33300	33400	1159	1023	1262	1023
33400	33500	1163	1027	1267	1027
33500	33600	1168	1032	1271	1032
33600	33700	1173	1036	1276	1036
33700	33800	1177	1040	1281	1040
33800	33900	1182	1045	1285	1045
33900	34000	1187	1049	1290	1049
34000	34100	1191	1053	1295	1053
34100	34200	1196	1057	1300	1057
34200	34300	1201	1062	1304	1062
34300	34400	1205	1066	1309	1066
34400	34500	1210	1070	1314	1070
34500	34600	1215	1075	1318	1075
34600	34700	1220	1079	1323	1079
34700	34800	1224	1083	1328	1083
34800	34900	1229	1088	1332	1088
34900	35000	1234	1092	1337	1092
35000	35100	1238	1096	1342	1096
35100	35200	1243	1100	1347	1100
35200	35300	1248	1105	1351	1105
35300	35400	1252	1109	1356	1109
35400	35500	1257	1113	1361	1113
35500	35600	1262	1118	1365	1118
35600	35700	1267	1122	1370	1122
35700	35800	1271	1126	1375	1126
35800	35900	1276	1131	1379	1131
35900	36000	1281	1135	1384	1135
36000	36100	1285	1139	1389	1139
36100	36200	1290	1143	1394	1143
36200	36300	1295	1148	1398	1148
36300	36400	1299	1152	1403	1152
36400	36500	1304	1156	1408	1156
36500	36600	1309	1161	1412	1161
36600	36700	1314	1165	1417	1165
36700	36800	1318	1169	1422	1169
36800	36900	1323	1174	1426	1174
36900	37000	1328	1178	1431	1178
37000	37100	1332	1182	1436	1182
37100	37200	1337	1186	1441	1186
37200	37300	1342	1191	1445	1191
37300	37400	1346	1195	1450	1195
37400	37500	1351	1199	1455	1199
37500	37600	1356	1204	1459	1204
37600	37700	1361	1208	1464	1208
37700	37800	1365	1212	1469	1212
37800	37900	1370	1217	1473	1217
37900	38000	1375	1221	1478	1221
38000	38100	1379	1225	1483	1225
38100	38200	1384	1229	1488	1229
38200	38300	1389	1234	1492	1234
38300	38400	1393	1238	1497	1238
38400	38500	1398	1242	1502	1242
38500	38600	1403	1247	1506	1247
38600	38700	1408	1251	1511	1251
38700	38800	1412	1255	1516	1255
38800	38900	1417	1260	1520	1260
38900	39000	1422	1264	1525	1264
39000	39100	1426	1268	1530	1268
39100	39200	1431	1272	1535	1272
39200	39300	1436	1277	1539	1277
39300	39400	1440	1281	1544	1281
39400	39500	1445	1285	1549	1285
39500	39600	1450	1290	1553	1290
39600	39700	1455	1294	1558	1294
39700	39800	1459	1298	1563	1298
39800	39900	1464	1303	1567	1303
39900	40000	1469	1307	1572	1307
40000	40100	1473	1311	1577	1311
40100	40200	1478	1315	1582	1315
40200	40300	1483	1320	1586	1320
40300	40400	1487	1324	1591	1324
40400	40500	1492	1328	1596	1328
40500	40600	1497	1333	1600	1333
40600	40700	1502	1337	1605	1337
